bi,https://cdn.discordapp.com/attachments/792859390902403113/885999685607763999/biflag_flag.png
ace,https://cdn.discordapp.com/attachments/792859390902403113/886015877286334504/aceflag_flag.png
pan,https://cdn.discordapp.com/attachments/792859390902403113/886015880071376926/panflag_flag.png
pain,https://cdn.discordapp.com/attachments/792859390902403113/886021095730331648/pain.gif
sunny,https://cdn.discordapp.com/attachments/800874326453780482/886022131132031046/Photo_Edits_1.png
juan,https://cdn.discordapp.com/attachments/792859390902403113/886024729167818752/neptunic__nb.png
trans,https://cdn.discordapp.com/attachments/792859390902403113/886079191215378452/trans.png
lesbian,https://cdn.discordapp.com/attachments/792859390902403113/886079192339456050/lesbian.png
nb,https://cdn.discordapp.com/attachments/792859390902403113/886079197779472384/nb.png
omni,https://cdn.discordapp.com/attachments/792859390902403113/886086068670173184/omni.png
queer,https://cdn.discordapp.com/attachments/792859390902403113/886086069790076948/queer.png
gay,https://cdn.discordapp.com/attachments/792859390902403113/886086071228706826/gay.png
neptunic,https://cdn.discordapp.com/attachments/792859390902403113/886086072835121172/neptunic.png
1984,https://cdn.discordapp.com/attachments/792859390902403113/886088089427136532/1984.png
ian,https://cdn.discordapp.com/attachments/792859390902403113/886088092077948928/ianflag.png
america,https://cdn.discordapp.com/attachments/821071333625561108/895135966501670932/small_america.png
india, https://cdn.discordapp.com/attachments/821071333625561108/895136507352973342/Small_india.png
