halloween, https://res.cloudinary.com/decwb4bgi/image/upload/v1633990482/image%20base/Standard/resized_CardBackground_kzvrvm.png
bi,https://res.cloudinary.com/decwb4bgi/image/upload/v1633990429/image%20base/Standard/resized_BiStandard_crqf9u.png
default,https://res.cloudinary.com/decwb4bgi/image/upload/v1633990429/image%20base/Standard/resized_Default_Background_wmy92u.png
ace,https://res.cloudinary.com/decwb4bgi/image/upload/v1633805122/image%20base/Standard/resized_AceStandard_rqkgjg.png
bimin,https://res.cloudinary.com/decwb4bgi/image/upload/v1633990559/image%20base/Minimal/resized_BiMinimal_lq2bei.png
standmin,https://res.cloudinary.com/decwb4bgi/image/upload/v1633990559/image%20base/Minimal/resized_StandardMinimal_iiaenm.png
acemin,https://res.cloudinary.com/decwb4bgi/image/upload/v1633990558/image%20base/Minimal/resized_AceMinimal_foyxjv.png
halloweenmin,https://res.cloudinary.com/decwb4bgi/image/upload/v1633990559/image%20base/Minimal/resized_HalloweenMinimal_xhsypb.png
tokyo,https://res.cloudinary.com/decwb4bgi/image/upload/v1633990405/image%20base/City/resized_Tokyo_ujvpak.jpg
london,https://res.cloudinary.com/decwb4bgi/image/upload/v1633990405/image%20base/City/resized_London_gmssxf.jpg
sanfran,https://res.cloudinary.com/decwb4bgi/image/upload/v1633990405/image%20base/City/resized_SanFran_vibzhn.jpg
dubai,https://res.cloudinary.com/decwb4bgi/image/upload/v1633990405/image%20base/City/resized_Dubai_buulc1.jpg
detroit,https://res.cloudinary.com/decwb4bgi/image/upload/v1633990405/image%20base/City/resized_Detroit_hi72d3.jpg
mountains,https://res.cloudinary.com/decwb4bgi/image/upload/v1633640131/image%20base/Artist/resized_Mountains_xfzwih.png
omnimin,https://res.cloudinary.com/decwb4bgi/image/upload/v1634168876/image%20base/Minimal/resized_OmniMin_arhvnt.png
omni,https://res.cloudinary.com/decwb4bgi/image/upload/v1634168967/image%20base/Standard/resized_OmniDefault_mwxfbv.png
omniPark,https://res.cloudinary.com/decwb4bgi/image/upload/v1635032243/image%20base/Artist/OmniBG_vy0sgq.png
